Time,Total
0.031,-132266
0.047,-132266
0.062,-110421
0.094,-88575
0.109,-132266
0.125,-88575
0.172,-110421
0.187,-132266
0.219,-132266
0.234,-132266
0.265,-110421
0.297,-110421
0.328,-110421
0.359,-110421
0.375,-132266
0.406,-132266
0.437,-88576
0.469,-132266
0.5,-132266
0.531,-132266
0.562,-110421
0.594,-132266
0.625,-132266
0.656,-132266
0.687,-110421
0.719,-132266
0.734,-132266
0.75,-110421
0.844,-132266
0.859,-132266
0.875,-132266
0.89,-132266
0.922,-132266
0.953,-110421
0.984,-132266
1.015,-132266
1.047,-132266
1.078,-110421
1.109,-132266
1.14,-132266
1.172,-132266
1.203,-132266
1.234,-132266
1.265,-132266
1.297,-110421
1.328,-132266
1.375,-110421
1.39,-110421
1.422,-110421
1.453,-88575
1.484,-132266
1.531,-110421
1.562,-132266
1.609,-132266
1.656,-132266
1.687,-110421
1.734,-110421
1.781,-110421
1.812,-132266
1.844,-132266
1.859,-132266
1.875,-132266
1.922,-132266
1.953,-88575
2.0,-132266
2.047,-44885
2.078,-132266
2.125,-132266
2.172,-132266
2.219,-132266
2.265,-132266
2.312,-132266
2.344,-132266
2.406,-132266
2.437,-88576
2.484,-88576
2.5,-110421
2.531,-132266
2.547,-132266
2.594,-88576
2.64,-88576
2.672,-132266
2.687,-132266
2.719,-110421
2.75,-132266
2.797,-132266
2.828,-132266
2.875,-66730
2.89,-132266
2.937,-132266
2.953,-110421
2.984,-110421
3.015,-132266
3.031,-132266
3.078,-132266
3.109,-132266
3.125,-132266
3.156,-132266
3.203,-66730
3.234,-110421
3.265,-132266
3.281,-132266
3.328,-132266
3.375,-110421
3.437,-132266
3.484,-132266
3.5,-132266
3.562,-44885
3.594,-132266
3.625,-132266
3.64,-132266
3.672,-88576
3.687,-132266
3.719,-132266
3.75,-132266
3.797,-132266
3.812,-132266
3.844,-132266
3.859,-132266
3.89,-110421
3.922,-132266
3.953,-110421
3.984,-132266
4.015,-132266
4.047,-132266
4.078,-110421
4.109,-132266
4.14,-110421
4.172,-132266
4.203,-110421
4.219,-88576
4.265,-132266
4.297,-132266
4.328,-88576
4.344,-110421
4.375,-110421
4.406,-132266
4.453,-66730
4.5,-110421
4.531,-110421
4.547,-132266
4.594,-132266
4.625,-132266
4.64,-132266
4.672,-110421
4.719,-110421
4.734,-132266
4.765,-132266
4.781,-110421
4.812,-88576
4.844,-132266
4.859,-110421
4.875,-110421
4.922,-132266
4.937,-132266
4.984,-132266
5.0,-110421
5.015,-132266
5.062,-110421
5.078,-132266
5.109,-132266
5.14,-132266
5.172,-110421
5.203,-132266
5.234,-110421
5.265,-132266
5.297,-132266
5.328,-132266
5.375,-110421
5.406,-110421
5.437,-110421
5.484,-110421
5.5,-110421
5.531,-132266
5.562,-110421
5.609,-110421
5.64,-110421
5.672,-132266
5.703,-110421
5.734,-132266
5.765,-132266
5.797,-132266
5.812,-110421
5.844,-110421
5.859,-132266
5.875,-88576
5.922,-110421
5.953,-132266
5.984,-132266
6.015,-110421
6.047,-132266
6.078,-132266
6.125,-132266
6.14,-132266
6.172,-132266
6.203,-132266
6.25,-132266
6.281,-110421
6.312,-132266
6.344,-132266
6.375,-110421
6.406,-110421
6.437,-110421
6.484,-66730
6.515,-132266
6.547,-132266
6.578,-132266
6.609,-110421
6.64,-132266
6.672,-132266
6.703,-88576
6.75,-110421
6.781,-132266
6.812,-132266
6.844,-110421
6.875,-132266
6.906,-132266
6.922,-132266
6.984,-88575
7.0,-132266
7.031,-132266
7.062,-132266
7.094,-132266
7.125,-132266
7.156,-88576
7.187,-132266
7.219,-132266
7.25,-110421
7.281,-110421
7.312,-132266
7.359,-132266
7.39,-132266
7.422,-110421
7.453,-88575
7.5,-132266
7.515,-110421
7.547,-110421
7.578,-132266
7.625,-88575
7.656,-132266
7.687,-110421
7.719,-132266
7.75,-88576
7.781,-110421
7.812,-132266
7.844,-132266
7.89,-132266
7.906,-110421
7.953,-132266
7.969,-132266
8.015,-88576
8.047,-110421
8.062,-132266
8.094,-132266
8.125,-132266
8.156,-110421
8.187,-132266
8.219,-110421
8.265,-132266
8.297,-132266
8.328,-132266
8.359,-132266
8.39,-132266
8.422,-110421
8.453,-132266
8.5,-132266
8.531,-110421
8.562,-110421
8.594,-110421
8.625,-132266
8.656,-132266
8.687,-88576
8.734,-132266
8.765,-132266
8.781,-132266
8.812,-132266
8.828,-132266
8.844,-132266
8.89,-132266
8.906,-132266
8.937,-88575
8.969,-110421
9.015,-132266
9.047,-132266
9.062,-132266
9.109,-132266
9.14,-132266
9.172,-132266
9.203,-132266
9.234,-132266
9.265,-110421
9.297,-110421
9.328,-132266
9.375,-110421
9.406,-132266
9.437,-110421
9.469,-132266
9.515,-132266
9.531,-110421
9.562,-132266
9.594,-132266
9.64,-132266
9.672,-132266
9.703,-132266
9.734,-132266
9.765,-66730
9.781,-88576
9.812,-132266
9.844,-132266
9.875,-132266
9.89,-88576
9.922,-110421
9.937,-132266
9.969,-88575
9.984,-110421
10.015,-110421
10.031,-132266
10.062,-88576
10.109,-110421
10.125,-132266
10.156,-88575
10.187,-132266
10.234,-110421
10.265,-132266
10.297,-132266
10.328,-132266
10.344,-132266
10.39,-132266
10.422,-88575
10.437,-110421
10.484,-132266
10.515,-110421
10.547,-132266
10.578,-132266
10.609,-132266
10.64,-110421
10.672,-132266
10.703,-132266
10.719,-110421
10.765,-132266
10.797,-132266
10.812,-132266
10.844,-132266
10.859,-88576
10.89,-132266
10.906,-132266
10.922,-132266
10.953,-132266
10.969,-132266
11.0,-132266
11.031,-132266
11.078,-132266
11.109,-132266
11.14,-132266
11.156,-132266
11.187,-88576
11.219,-110421
11.25,-132266
11.281,-132266
11.297,-132266
11.328,-132266
11.344,-132266
11.39,-110421
11.422,-132266
11.453,-132266
11.469,-132266
11.515,-132266
11.547,-132266
11.578,-132266
11.594,-88575
11.64,-132266
11.656,-132266
11.687,-110421
11.719,-132266
11.765,-110421
11.797,-132266
11.828,-110421
11.844,-110421
11.89,-132266
11.906,-132266
11.922,-132266
11.953,-132266
11.969,-110421
11.984,-110421
12.015,-132266
12.031,-132266
12.062,-132266
12.094,-132266
12.125,-110421
12.14,-110421
12.156,-110421
12.203,-132266
12.234,-132266
12.265,-110421
12.297,-132266
12.328,-132266
12.359,-110421
12.39,-132266
12.406,-132266
12.422,-132266
12.453,-132266
12.484,-110421
12.531,-132266
12.547,-132266
12.578,-88575
12.609,-88576
12.64,-132266
12.656,-110421
12.687,-110421
12.703,-88575
12.719,-132266
12.765,-132266
12.781,-110421
12.812,-132266
12.828,-132266
12.844,-132266
12.859,-110421
12.89,-132266
12.922,-132266
12.937,-88575
12.969,-132266
12.984,-132266
13.015,-88576
13.031,-132266
13.062,-110421
13.078,-132266
13.094,-132266
13.14,-132266
13.156,-132266
13.187,-132266
13.234,-132266
13.265,-88576
13.297,-132266
13.328,-132266
13.359,-110421
13.39,-132266
13.422,-132266
13.453,-110421
13.484,-132266
13.531,-132266
13.547,-132266
13.562,-110421
13.594,-110421
13.64,-110421
13.672,-132266
13.703,-132266
13.734,-132266
13.781,-132266
13.812,-110421
13.828,-132266
13.875,-110421
13.906,-132266
13.937,-110421
13.953,-88576
14.0,-110421
14.015,-132266
14.047,-132266
14.078,-110421
14.094,-88576
14.125,-110421
14.156,-110421
14.187,-110421
14.219,-88575
14.234,-110421
14.281,-110421
14.312,-88576
14.328,-132266
14.375,-132266
14.39,-132266
14.422,-132266
14.469,-132266
14.484,-132266
14.515,-132266
14.547,-88575
14.594,-110421
14.609,-132266
14.64,-132266
14.672,-88576
14.703,-132266
14.75,-110421
14.765,-132266
14.797,-66730
14.812,-132266
14.844,-132266
14.859,-132266
14.89,-110421
14.922,-110421
14.953,-132266
14.969,-110421
14.984,-132266
15.0,-132266
15.031,-132266
15.078,-132266
15.109,-132266
15.14,-132266
15.172,-110421
15.203,-132266
15.219,-44885
15.25,-132266
15.281,-110421
15.297,-132266
15.328,-110421
15.375,-132266
15.39,-132266
15.422,-132266
15.453,-132266
15.484,-110421
15.531,-132266
15.562,-110421
15.578,-110421
15.625,-110421
15.656,-110421
15.672,-132266
15.703,-132266
15.734,-132266
15.765,-132266
15.797,-132266
15.828,-132266
15.844,-132266
15.875,-132266
15.906,-132266
15.937,-110421
15.969,-132266
16.0,-66730
16.031,-88576
16.062,-132266
16.078,-132266
16.109,-132266
16.14,-132266
16.172,-132266
16.203,-110421
16.234,-132266
16.265,-132266
16.281,-132266
16.312,-110421
16.344,-132266
16.375,-132266
16.406,-132266
16.437,-132266
16.469,-132266
16.484,-132266
16.531,-132266
16.578,-132266
16.594,-132266
16.609,-110421
16.64,-110421
16.672,-110421
16.703,-88575
16.719,-132266
16.75,-110421
16.781,-110421
16.812,-132266
16.844,-132266
16.875,-132266
16.906,-132266
16.937,-132266
16.953,-132266
16.984,-132266
17.015,-88576
17.047,-110421
17.078,-132266
17.109,-132266
17.14,-132266
17.156,-132266
17.187,-88575
17.219,-132266
17.25,-132266
17.281,-132266
17.312,-132266
17.344,-132266
17.359,-132266
17.39,-132266
17.422,-132266
17.453,-132266
17.484,-132266
17.531,-88576
17.562,-110421
17.594,-132266
17.609,-132266
17.625,-132266
17.64,-132266
17.656,-132266
17.703,-88575
17.734,-110421
17.765,-110421
17.797,-88576
17.828,-110421
17.859,-132266
17.89,-88576
17.906,-132266
17.937,-132266
17.969,-132266
18.0,-132266
18.031,-132266
18.062,-132266
18.094,-110421
18.109,-110421
18.14,-132266
18.172,-88576
18.203,-132266
18.234,-110421
18.265,-88576
18.297,-132266
18.328,-132266
18.344,-110421
18.375,-88576
18.406,-132266
18.437,-132266
18.469,-132266
18.5,-110421
18.531,-132266
18.562,-132266
18.578,-132266
18.609,-132266
18.64,-132266
18.672,-132266
18.703,-132266
18.734,-132266
18.765,-132266
18.781,-110421
18.812,-132266
18.844,-132266
18.859,-132266
18.89,-132266
18.906,-132266
18.937,-110421
18.969,-132266
19.0,-110421
19.031,-66730
19.062,-44885
19.094,-66730
19.109,-110421
19.14,-110421
19.172,-66730
19.203,129878
19.234,-1195
19.265,-66731
19.297,42497
19.328,195414
19.344,20651
19.375,151723
19.406,129878
19.437,64342
19.469,42496
19.5,64341
19.531,86187
19.562,173569
19.578,173568
19.609,282795
19.64,195414
19.672,151723
19.703,151723
19.734,282795
19.765,151723
19.781,195414
19.812,326486
19.844,370177
19.875,348331
19.906,304640
19.937,304641
19.969,348331
19.984,326485
20.015,304641
20.047,370177
20.078,457558
20.109,544939
20.14,348331
20.172,457558
20.203,392022
20.219,523094
20.25,501248
20.281,392022
20.312,435712
20.344,435712
20.375,435712
20.406,676011
20.437,610475
20.453,523094
20.484,807083
20.515,676011
20.562,676011
20.578,676011
20.594,588630
20.609,938155
20.64,785238
20.656,457557
20.687,872619
20.719,719702
20.75,960000
20.765,763392
20.797,719702
20.828,807083
20.844,763392
20.875,719702
20.906,697856
20.922,850774
20.953,1047382
20.969,916310
21.0,981846
21.015,1091073
21.047,1047382
21.078,763392
21.094,981845
21.125,916310
21.156,763392
21.172,938155
21.203,850773
21.219,1200299
21.25,828929
21.265,763392
21.297,1200299
21.328,1222144
21.344,1265835
21.375,1069227
21.406,1156608
21.422,960001
21.453,1025536
21.469,1069227
21.5,1134763
21.515,1178454
21.562,1287680
21.578,719702
21.609,1243990
21.64,1003691
21.656,1440598
21.687,1134763
21.719,1200299
21.734,1287680
21.765,1112918
21.797,1527979
21.812,1265835
21.844,1200299
21.859,1309526
21.89,1811968
21.906,1134763
21.937,1462443
21.969,1527979
21.984,1222144
22.015,1440598
22.047,1025536
22.062,1265835
22.094,1331371
22.109,1375062
22.14,1462443
22.156,1440598
22.187,1396907
22.219,1396907
22.234,1506133
22.265,1243990
22.297,1506133
22.312,1200299
22.344,1637205
22.359,1265835
22.39,1484288
22.406,1440598
22.437,1811968
22.469,1265835
22.484,1637206
22.515,1375062
22.547,1964886
22.578,1375062
22.609,1768277
22.64,1921195
22.656,1287680
22.687,1549825
22.703,1331371
22.734,1746433
22.75,1222145
22.781,1593515
22.812,1724587
22.828,1877504
22.859,1375062
22.89,1593515
22.906,1571670
22.937,1637206
22.953,1440597
22.984,1637206
23.0,1724587
23.031,1811968
23.062,1899350
23.078,1680896
23.109,1178454
23.14,1921195
23.156,2248875
23.187,1811969
23.203,1833813
23.234,1899349
23.25,1702742
23.281,1899349
23.312,1855659
23.328,1964886
23.359,1527979
23.39,1615360
23.406,1593515
23.437,2336256
23.453,2052267
23.484,1746432
23.5,1637206
23.531,1811969
23.562,1484288
23.609,1571670
23.625,1964885
23.64,1921195
23.672,1702742
23.719,1702741
23.734,1549825
23.765,2008576
23.781,1724587
23.812,2248875
23.844,1724587
23.859,1768278
23.89,1615360
23.922,1724587
23.937,1746433
23.969,1680896
23.984,1746432
24.015,1833814
24.031,1964886
24.062,1964886
24.094,1593515
24.109,1790123
24.14,2008577
24.172,2030422
24.187,1790123
24.219,1899350
24.234,1921195
24.265,2008576
24.281,1506134
24.312,1964886
24.344,1943040
24.359,1833814
24.39,1986731
24.422,1899350
24.437,2161493
24.469,1593515
24.484,1899350
24.515,2052267
24.531,1790123
24.578,2008577
24.594,1571670
24.625,2052267
24.656,2008576
24.687,1506133
24.703,1986731
24.734,1921195
24.765,1899349
24.781,1724587
24.812,1964886
24.828,2117803
24.859,1921195
24.875,2030422
24.906,1746433
24.937,1593515
24.953,2248875
24.984,1790123
25.015,1921195
25.031,2161494
25.062,1943040
25.094,2030422
25.109,2117803
25.14,1593515
25.172,2052267
25.187,1921195
25.219,1790123
25.234,2227030
25.265,1833814
